no,label,user
4502,Kranj,Sava
4600,Kranj,Pošta Slovenije d.o.o., PE Kranj
5000,Nova Gorica,
5001,Nova Gorica ,
5210,Deskle,
5211,Kojsko,
5212,Dobrovo v Brdih,
5213,Kanal,
5214,Kal nad Kanalom,
5215,Ročinj,
5216,Most na Soči,
5220,Tolmin,
5222,Kobarid,
5223,Breginj,
5224,Srpenica,
5230,Bovec,
5231,Log pod Mangartom,
5232,Soča,
5242,Grahovo ob Bači,
5243,Podbrdo,
5250,Solkan,
5251,Grgar,
5252,Trnovo pri Gorici,
5253,Čepovan,
5261,Šempas,
5262,Črniče,
5263,Dobravlje,
5270,Ajdovščina,
5271,Vipava,
5272,Podnanos,
5273,Col,
5274,Črni Vrh nad Idrijo,
5275,Godovič,
5280,Idrija,
5281,Spodnja Idrija,
5282,Cerkno,
5283,Slap ob Idrijci,
5290,Šempeter pri Gorici,
5291,Miren,
5292,Renče,
5293,Volčja Draga,
5294,Dornberk,
5295,Branik,
5296,Kostanjevica na Krasu,
5297,Prvačina,
5600,Nova Gorica,Pošta Slovenije d.o.o., PE Nova Gorica
6000,Koper - Capodistria ,
6001,Koper - Capodistria ,
6200,Koper - Capodistria,Pošta Slovenije d.o.o., PPP Koper
6210,Sežana,
6215,Divača,
6216,Podgorje,
6217,Vremski Britof,
6219,Lokev,
6221,Dutovlje,
6222,Štanjel,
6223,Komen,
6224,Senožeče,
6225,Hruševje,
6230,Postojna,
6232,Planina,
6240,Kozina,
6242,Materija,
6243,Obrov,
6244,Podgrad,
6250,Ilirska Bistrica,
6251,Ilirska Bistrica - Trnovo,
6253,Knežak,
6254,Jelšane,
6255,Prem,
6256,Košana,
6257,Pivka,
6258,Prestranek,
6271,Dekani,
6272,Gračišče,
6273,Marezige,
6274,Šmarje,
6275,Črni Kal,
6276,Pobegi,
6280,Ankaran/Ancarano,
6281,Škofije,
6310,Izola/Isola,
6320,Portorož/Portorose,
6330,Piran/Pirano,
6333,Sečovlje/Sicciole,
6501,Koper - Capodistria,Luka Koper
6502,Koper - Capodistria,Banka Koper
6503,Koper - Capodistria,Adriatic zavarovalna družba
6504,Koper - Capodistria,Intereuropa Koper
6600,Koper - Capodistria,Pošta Slovenije d.o.o., PE Koper
8000,Novo mesto ,
8001,Novo mesto,
8210,Trebnje,
8211,Dobrnič,
8212,Velika Loka,
8213,Veliki Gaber,
8216,Mirna Peč,
8220,Šmarješke Toplice,
8222,Otočec,
8230,Mokronog,
8231,Trebelno,
8232,Šentrupert,
8233,Mirna,
8250,Brežice,
8251,Čatež ob Savi,
8253,Artiče,
8254,Globoko,
8255,Pišece,
8256,Sromlje,
8257,Dobova,
8258,Kapele,
8259,Bizeljsko,
8261,Jesenice na Dolenjskem,
8262,Krška vas,
8263,Cerklje ob Krki,
8270,Krško,
8272,Zdole,
8273,Leskovec pri Krškem,
8274,Raka,
8275,Škocjan,
8276,Bučka,
8280,Brestanica,
8281,Senovo,
8282,Koprivnica,
8283,Blanca,
8290,Sevnica,
8292,Zabukovje,
8293,Studenec,
8294,Boštanj,
8295,Tržišče,
8296,Krmelj,
8297,Šentjanž,
8310,Šentjernej,
8311,Kostanjevica na Krki,
8312,Podbočje,
8321,Brusnice,
8322,Stopiče,
8323,Uršna sela,
8330,Metlika,
8331,Suhor,
8332,Gradac,
8333,Semič,
8340,Črnomelj,
8341,Adlešiči,
8342,Stari trg ob Kolpi,
8343,Dragatuš,
8344,Vinica,
8350,Dolenjske Toplice,
8351,Straža,
8360,Žužemberk,
8361,Dvor,
8362,Hinje,
8501,Novo mesto,Krka
8600,Nova mesto,Pošta Slovenije d.o.o., PE Novo mesto
9000,Murska Sobota,
9001,Murska Sobota ,
9201,Puconci,
9202,Mačkovci,
9203,Petrovci,
9204,Šalovci,
9205,Hodoš/Hodos,
9206,Križevci,
9207,Prosenjakovci/Partosfalva,
9208,Fokovci,
9220,Lendava/Lendva,
9221,Martjanci,
9222,Bogojina,
9223,Dobrovnik/Dobronak,
9224,Turnišče,
9225,Velika Polana,
9226,Moravske Toplice,
9227,Kobilje,
9231,Beltinci,
9232,Črenšovci,
9233,Odranci,
9240,Ljutomer,
9241,Veržej,
9242,Križevci pri Ljutomeru,
9243,Mala Nedelja,
9244,Sveti Jurij ob Ščavnici,
9245,Spodnji Ivanjci,
9246,Razkrižje,
9250,Gornja Radgona,
9251,Tišina,
9252,Radenci,
9253,Apače,
9261,Cankova,
9262,Rogašovci,
9263,Kuzma,
9264,Grad,
9265,Bodonci,
9501,Murska Sobota,Mura
9502,Radenci,Radenska - Zdravilišče
9600,Murska Sobota,Pošta Slovenije d.o.o., PE Murska Sobota
